Chapter,Frequency
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,4
10,0
11,2
12,1
13,1
14,0
15,1
16,10
17,0
18,0
19,0
20,0
21,1
22,2
23,12
24,48
25,32
26,2
27,8
28,15
29,2
30,2
31,1
32,0
33,0
34,0
35,0
36,6
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,2
51,1
52,1
53,22
54,73
55,34
56,0
57,0
58,15
59,0
60,2
61,0
62,4
63,2
64,1
65,2
66,0
67,0
68,1
69,4
70,11
71,8
72,19
73,27
74,6
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
