Chapter,Frequency
1,20
2,86
3,0
4,39
5,0
6,78
7,0
8,0
9,0
10,0
11,46
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,3
26,0
27,0
28,0
29,0
30,0
31,0
