Chapter,Frequency
1,0
2,0
3,0
4,0
5,13
6,40
7,43
8,4
9,6
10,1
11,13
12,0
13,0
14,132
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,36
29,0
30,93
31,0
32,0
33,18
34,0
35,0
36,0
37,0
38,5
39,0
40,29
41,15
42,31
43,0
44,69
45,0
46,23
47,0
48,0
49,0
50,4
51,0
52,30
53,18
54,0
55,28
56,18

