"source","negative","positive","neg_positive","neg_negative"
"intense passion for jewels",0,1,0,0
"shielded",0,1,0,0
"his face",0,0,0,0
"smiled",0,1,0,0
"gently",0,1,0,0
"mysterious",0,0,0,0
"a great man",0,1,0,0
"plausible manner",0,1,0,0
"ingratiating manner",1,0,0,0
"rose",0,0,0,0
"took up",0,0,0,0
"threw carelessly",1,0,0,0
"not_limp",0,0,0,1
